contrat_id,client_id,prime_annuelle,montant_sinistre,type_contrat,date_effet,date_echeance
CTR-000001,CLI-00001,1200.00,0.00,AUTO,2024-01-01,2025-01-01
CTR-000002,CLI-00002,850.50,2500.00,HABITATION,2024-02-01,2025-02-01
CTR-000002,CLI-00002,850.50,2500.00,HABITATION,2024-02-01,2025-02-01
CTR-000003,CLI-00003,2300.00,0.00,AUTO,2024-01-15,2025-01-15
CTR-000004,CLI-00004,-200.00,0.00,VIE,2024-03-01,2025-03-01
CTR-000005,CLI-00005,1500.00,750000.00,HABITATION,2024-01-10,2025-01-10
CTR-000006,,1800.00,0.00,AUTO,2024-02-15,2025-02-15
CTR-000007,CLI-00007,,0.00,HABITATION,2024-03-10,2025-03-10
CTR-000008,CLI-00008,2025-01-01,0.00,VIE,2024-04-01,2025-04-01
CTR-000009,CLI-00009,3200.00,15000.00,auto,2024-01-20,2025-01-20
CTR-000010,CLI-00010,980.00,0.00,HABITATION,2024-05-01,2025-05-01
,CLI-00011,1100.00,5000.00,AUTO,2024-02-10,2025-02-10
CTR-000012,CLI-00012,1650.00,0.00,VIE,2025-06-01,2024-06-01
CTR-000013,CLI-00013,,8000.00,AUTO,2024-03-15,2025-03-15
CTR-000014,CLI-00014,4500.00,0.00,HABITATION,2024-04-20,2025-04-20
CTR-000015,CLI-00015,75000.00,0.00,VIE,2024-05-05,2025-05-05
